merchant_id,name,venue,area_type,category,location_text,historical_price_cny,recommended_items,review_summary,caution,source_id,source_date,collected_at,current_status,confidence,image_ids
C001,林海食堂,中南林业科技大学,校内食堂,综合食堂,"十字路口处，近主教；左邻东园足球场，右为宿舍区，前有林旺食堂，后通后街",,"综合档口","两层，人流量大，位置便利","2019 年描述，现状待核验",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG002
C002,林语食堂,中南林业科技大学,校内食堂,综合食堂,"二楼可通往后街和多福超市",,"综合档口","被文章称为“林科大最美食堂”；环境明亮、干净、温馨","2019 年描述，现状待核验",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG005
C003,林苑食堂,中南林业科技大学,校内食堂,综合食堂,"近校医务室、快递点和小卖部",,"综合档口","两层、菜品齐全、有空调；靠窗座位透亮安静，适合自习","2019 年描述，现状待核验",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG008
C004,林涛食堂,中南林业科技大学,校内食堂,综合食堂,"近西园宿舍区；前为国际楼，后为西园足球场和篮球场",,"综合档口","文章称其为网红食堂之一","2019 年描述，现状待核验",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG011
C005,林冠食堂,中南林业科技大学,校内食堂,综合食堂,"林涛楼下，位置较偏",,"综合档口","较安静，饭点不如其他食堂拥挤；当时称可外卖配送","2019 年配送信息很可能已变化",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG014
C006,林旺食堂,中南林业科技大学,校内食堂,综合食堂,"林海食堂前方",,,"仅在林海食堂位置描述中被提及","缺少独立介绍",SRC001,2019-08-15,2026-07-18,待实地核验,中,
S001,蒸蒸日上,林海食堂,校内档口,简餐,"林海食堂内",10,"清淡饭菜","口味清淡、可口，被称为适合南方口味","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG003
S002,拌的码粉面馆,林海食堂,校内档口,粉面,"林海食堂内",8,"粉、面","种类较多，小料新鲜且份足，价格实惠，服务好；适合早餐或晚餐","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG004
S003,重庆小面,林语食堂,校内档口,粉面,"林语食堂内",6,"重庆小面、自制豆浆、馄饨、饺子","油而不腻、红而不辣、面条劲道；豆浆夏季冰饮、冬季热饮","价格为 2019 年均价；店名较通用",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG006
S004,香来客,林语食堂,校内档口,铁板烧,"林语食堂内",12,"铁板烧","特点是刚出炉时香、鲜美","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG007
S005,清香荷叶饭,林苑食堂,校内档口,炒饭,"林苑食堂内",10,"荷叶炒饭","清香爽口、出饭快、菜品多","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG009
S006,河南肉夹馍,林苑食堂,校内档口,面食,"林苑食堂内",7,"肉夹馍","馅足，营业到晚自习后，适合偏好北方面食的学生","价格为 2019 年均价；与后街同名摊位需区分",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG010
S007,千里香馄饨,林涛食堂,校内档口,馄饨,"林涛食堂内",7,"千里香馄饨","物美价廉、馅大份足；晚自习后仍营业","价格和营业时间为 2019 年信息",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG012
S008,鸡扒饭,林涛食堂,校内档口,盖饭,"林涛食堂偏内侧",9,"新奥尔良烤肉、鸡肉类盖饭","出饭快、顾客多；荤菜多为油炸，也配特色素菜","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG013
S009,小明家,林冠食堂,校内档口,麻辣烫,"林冠食堂内",12,"骨汤麻辣烫","骨汤香浓、配料选择多、实惠；缺点是等候较久，建议非高峰去","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG015
S010,福州煨汤,林冠食堂,校内档口,煨汤简餐,"林冠食堂内",11,"煨汤、一荤一素套餐","汤料细腻、汤味浓，偏南方口味，冬季评价较好","价格为 2019 年均价",SRC001,2019-08-15,2026-07-18,待实地核验,高,IMG016
S011,螺鼎记螺蛳粉（另一来源写作罗鼎记）,林科大后街入口,周边商家,螺蛳粉,"后街门口正对面；2018 年文章称桥底下店人气更高，另有乐尔乐超市旁店",9-11,"螺蛳粉、酸笋、腐竹、酸萝卜、花生米","味道正宗、小料多；桥下店被称为后街人气第一；建议微辣且保留酸笋","2018 年称 24 小时营业；店名写法和当前门店均待核验",SRC001|SRC002,2018-06-08|2019-08-15,2026-07-18,待实地核验,高,IMG017
S012,左右鱼粉,未注明食堂,校内档口,鱼粉,"校内，具体食堂未注明",,"鱼粉","2018 年文章列为食堂 TOP3 之一","仅有榜单式推荐，具体位置待查",SRC002,2018-06-08,2026-07-18,待实地核验,中,
S013,小米姑娘,未注明食堂,校内档口,米饭简餐,"校内，具体食堂未注明",,,"2018 年文章列为食堂 TOP3 之一","仅有榜单式推荐，具体位置待查",SRC002,2018-06-08,2026-07-18,待实地核验,中,
S014,杨国福麻辣烫（校内点位）,未注明食堂,校内档口,麻辣烫,"校内，具体食堂未注明",,"麻辣烫","2018 年文章列为食堂 TOP3 之一","可能与青园路门店为不同点位",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N001,木马寿司,常青藤商业街,周边商家,寿司,"林科大常青藤商业街建行取款机旁",10,"寿司","搜索摘要称其在后街经营三年、由林科大学生相关创业","仅搜索摘要可见，正文被微信验证拦截；来源日期未明",SRC005,,2026-07-18,待实地核验,中,
