record_id,institution,campus,name,venue,area_type,category,location_text,historical_price_cny,recommended_items,review_summary,caution,source_id,source_date,collected_at,current_status,confidence,image_ids
HNAU-C001,"湖南农业大学","校本部","芷兰学生食堂","芷兰园区","校内食堂","综合食堂","芷兰学生公寓片区","","大众饭菜","校方后勤记录显示食堂操作间曾按标准化与食品安全要求提质改造","公开页面主要反映2018年改造情况",MULTI_SRC002,"2018-09","2026-07-18","待实地核验","高","MULTI_IMG001|MULTI_IMG002"
HNAU-C002,"湖南农业大学","校本部","丰泽学生食堂","丰泽园区","校内食堂","综合食堂","丰泽学生公寓片区","","大众饭菜","校方后勤记录显示丰泽一楼操作间曾完成提质改造","公开页面主要反映2018年改造情况",MULTI_SRC002,"2018-09","2026-07-18","待实地核验","高","MULTI_IMG001|MULTI_IMG003"
HNAU-S001,"湖南农业大学","校本部","常德津市·刘聋子牛肉粉","东湖小区","校园周边","粉面","东湖小区6栋","9","红烧牛肉圆粉、牛肉汤","2019年攻略称圆粉筋道入味，浇牛肉汤后香味更足，适合早中晚简餐","价格和营业状态为2019年信息",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中","MULTI_IMG004|MULTI_IMG005|MULTI_IMG006|MULTI_IMG007"
HNAU-S002,"湖南农业大学","校本部","梅干菜扣肉饼","东湖小区","校园周边","小吃","东湖小区3栋","4","梅干菜扣肉饼","2019年攻略称饼体较大，现烤后外焦里嫩、咸香可口","店名为品类称呼；价格和摊位状态待核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中","MULTI_IMG008|MULTI_IMG009|MULTI_IMG010"
HNAU-S003,"湖南农业大学","校本部","北京片皮烤鸭","东湖小区","校园周边","烤鸭","东湖小区5栋","20","片皮烤鸭、薄饼","2019年攻略称鸭肉嫩、皮脆，搭配黄瓜丝、葱丝和甜面酱","东湖同类门店较多，需按地址核验具体店铺",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S004,"湖南农业大学","校本部","丑小鸭热卤","东湖小区","校园周边","热卤快餐","东湖小区","13","荤素热卤、卤汁拌饭","2019年攻略评价荤素可搭、性价比较高，热卤可以加米饭","缺少精确门牌，历史人均仅供参考",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S005,"湖南农业大学","校本部","小豆甜品","东湖小区","校园周边","甜品","东湖小区","8","豆花、芋圆椰汁","2019年攻略称门店经营多年，适合作为正餐后的甜品选择","缺少精确门牌，营业状态待核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S006,"湖南农业大学","校本部","澳门葡挞","金岸学生公寓","校内生活区商家","烘焙甜品","金岸学生公寓","6","蛋挞、雪苓子、芝士与奶油甜品","2019年攻略强调甜品种类多、蛋挞口感软弹","商家可能已更名或迁移",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S007,"湖南农业大学","校本部","重庆老麻抄手","生机创业街","校园周边","抄手","农大公交站后台球室斜对面","10","麻辣抄手","2019年攻略称皮薄馅嫩，麻辣程度可选，并搭配黄豆和青菜","地址与价格为2019年信息",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S008,"湖南农业大学","校本部","爱新嚼萝泡菜","科教路","校园周边","泡菜小吃","农大公交站生机门口、家惠超市对面","","怀化风味泡菜","2019年攻略称酸爽醒胃，并记录该店由毕业生创办、已有多年经营历史","未提供历史人均",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S009,"湖南农业大学","校本部","唐兵兵粉面馆","科教新村","校园周边","粉面","湖南农业大学科教新村小区","","炒码粉、自选酸萝卜与蒜籽辣椒","2019年攻略称小锅现炒、镬气较足，自选菜码是特色","营业状态与现价待核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S010,"湖南农业大学","校本部","淮南牛肉汤","滨湖小区","校园周边","汤粉面","滨湖小区15栋、农大子弟小学旁","","淮南牛肉汤、豆皮丝、牛肉片","2019年攻略称汤味鲜，配料包含豆皮丝和大片牛肉","来源称经营者来自河南，店名与地域口味表述需现场核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S011,"湖南农业大学","校本部","细刚粉店","滨湖小区","校园周边","粉面","滨湖小区49栋","","肉饼蛋码子粉","2019年攻略称店铺藏于居民楼，学生与周边居民均会光顾，码子较扎实","营业状态与现价待核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S012,"湖南农业大学","校本部","涛涛生煎包","红旗市场","校园周边","小吃","红旗市场小吃街摊位","5","生煎包","2019年攻略称出锅后很快售罄，包内汤汁较足","摊位可能流动，历史价格待核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HNAU-S013,"湖南农业大学","校本部","桥头排骨","红旗市场","校园周边","炸物小吃","红旗市场12栋161号门面","15","炸排骨、炸肉条","2019年攻略称外裹面粉现炸，可搭配甘梅粉","连锁门店状态与现价待核验",MULTI_SRC001,"2019-03-18","2026-07-18","待实地核验","中",""
HUTB-C001,"湖南工商大学","北校区","铭德食堂","铭德公寓片区","校内食堂","综合食堂","铭德公寓旁、天井正对面","","荷叶饭、卤肉饭、麻辣烫、水果捞、面包蛋糕","2020年校级攻略称其离教学楼较近、菜式和附属零售较多","菜品为2020年信息",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","高","MULTI_IMG011|MULTI_IMG012|MULTI_IMG013"
HUTB-C002,"湖南工商大学","北校区","津味吧","铭德食堂旁","校内餐厅","教师餐厅兼学生服务","与铭德食堂相邻","","早餐面食、中晚餐饭菜","2020年校级攻略称教师餐厅同时向学生开放","高峰期学生侧门进入的规则可能已变",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","高",""
HUTB-C003,"湖南工商大学","北校区","锦觅餐厅","博雅宿舍片区","校内食堂","综合食堂","博雅五栋对面、近知止宿舍楼","","掉渣饼、热干面、螺蛳粉、小碗菜","2020年校级攻略称食堂面积较大、环境宽敞，内设便利店","菜品为2020年信息",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","高","MULTI_IMG013"
HUTB-C004,"湖南工商大学","南校区","萃雅餐厅","萃雅公寓片区","校内食堂","综合食堂","萃雅公寓三栋对面","","浏阳蒸菜、麻辣香锅、咕噜鱼","2020年校级攻略称共三层、菜式丰富且人流量大；2024年学校招标搜索结果仍出现该食堂","招标正文已失效，当前档口待核验",MULTI_SRC101|MULTI_SRC102,"2020-09-18|2024-06-18","2026-07-18","待实地核验","高",""
HUTB-C005,"湖南工商大学","南校区","贤德餐厅","贤德公寓片区","校内食堂","综合食堂","贤德公寓区内、学生商场旁","","卤粉、浏阳蒸菜、奶茶、麻辣烫","2020年校级攻略称共两层、环境较宽敞；2024年学校招标搜索结果仍出现该食堂","招标正文已失效，当前档口待核验",MULTI_SRC101|MULTI_SRC102,"2020-09-18|2024-06-18","2026-07-18","待实地核验","高",""
HUTB-C006,"湖南工商大学","南校区","楚枫轩","慧园片区","校内餐厅","教师餐厅兼学生服务","楚枫桥旁、慧园旁","","粉面、早点","2020年校级攻略称餐厅楼上为办公楼，并向学生供应粉面和早餐","运营方式可能变化",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","高",""
HUTB-C007,"湖南工商大学","南校区","咸嘉食堂","咸嘉公寓片区","校内食堂","综合食堂","咸嘉公寓附近","","渔粉、炸酱面、常德牛肉面","2020年校级攻略列出多种粉面品类","当前档口待核验",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","高",""
HUTB-C008,"湖南工商大学","南校区","岭南书味餐厅","岭南片区","校内食堂","综合食堂","靠近研究生院和岭南体育馆","","瓦罐汤、烤肉拌饭","2020年校级攻略评价就餐环境较好","当前档口待核验",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","高",""
HUTB-S001,"湖南工商大学","北校区","芒果之星","北校区后街","校园周边","餐饮商家","北校区后街","","未明确","校级攻略将其列为后街代表商家，并提及老板滑滑板送外卖的校园记忆","未提供具体品类、门牌和价格",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","中",""
HUTB-S002,"湖南工商大学","北校区","北津青年","北校区后街","校园周边","餐饮商家","北校区后街","","未明确","校级攻略将其与多家后街美食并列推荐","未提供具体品类、门牌和价格",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","中",""
HUTB-S003,"湖南工商大学","北校区","小木船烤冷面","北校区后街","校园周边","烤冷面","北校区后街","","烤冷面","校级攻略将其列为北校区后街代表小吃","缺少精确门牌和评价细节",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","中",""
HUTB-S004,"湖南工商大学","北校区","后街黄焖鸡（店名未识别）","北校区后街","校园周边","黄焖鸡","北校区后街","","黄焖鸡","校级攻略确认后街存在学生常去的黄焖鸡商家","正文未给店名，不据此猜测",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","低",""
HUTB-S005,"湖南工商大学","北校区","后街鸡公煲（店名未识别）","北校区后街","校园周边","鸡公煲","北校区后街","","鸡公煲","校级攻略确认后街存在鸡公煲商家","正文未给店名，不据此猜测",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","低",""
HUTB-S006,"湖南工商大学","南校区","学友餐厅","贤德园区","校内生活区商家","综合餐饮","贤德园区内","","未明确","校级攻略将其列为南校区食堂之外的补充餐饮点","缺少菜品、价格与精确位置",MULTI_SRC101,"2020-09-18","2026-07-18","待实地核验","中",""
CSU-C001,"中南大学","岳麓山校区","三食堂","中南大学岳麓山校区","校内食堂","综合食堂","岳麓山校区","","大众餐饮","后勤保障部将其列入统一管理食堂，学校食堂整体获标准化学生食堂称号","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高","MULTI_IMG015"
CSU-C002,"中南大学","岳麓山校区","五食堂","中南大学岳麓山校区","校内食堂","综合食堂","岳麓山校区","","大众餐饮","后勤保障部列入统一管理食堂，强调集中采购和食品安全管理","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高","MULTI_IMG015"
CSU-C003,"中南大学","岳麓山校区","九食堂","中南大学岳麓山校区","校内食堂","综合食堂","岳麓山校区","","大众餐饮","后勤保障部列入统一管理食堂","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C004,"中南大学","南校区","二食堂","中南大学南校区","校内食堂","综合食堂","南校区","","大众餐饮","后勤保障部列入统一管理食堂；历史校方报道评价南校区饭菜品种较多、价格合算","历史评价页面未标明清晰发布日期",MULTI_SRC201|MULTI_SRC204,"","2026-07-18","待实地核验","高",""
CSU-C005,"中南大学","南校区","七食堂","中南大学南校区","校内食堂","综合食堂","南校区","","大众餐饮","后勤保障部列入统一管理食堂","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C006,"中南大学","南校区","八食堂","中南大学南校区","校内食堂","综合食堂","南校区","","自选餐、大众餐饮","后勤公开记录显示八食堂曾设二楼自选餐厅，现行页面仍列为统一管理食堂","自选餐厅当前状态待核验",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C007,"中南大学","铁道校区","四食堂","中南大学铁道校区","校内食堂","综合食堂","铁道校区","","大众餐饮","后勤保障部列入统一管理食堂","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C008,"中南大学","铁道校区","六食堂","中南大学铁道校区","校内食堂","综合食堂","铁道校区","","大众餐饮","后勤保障部列入统一管理食堂","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C009,"中南大学","湘雅老校区","十食堂","中南大学湘雅老校区","校内食堂","综合食堂","湘雅老校区","","大众餐饮","后勤保障部列入统一管理食堂","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C010,"中南大学","湘雅新校区","十一食堂","中南大学湘雅新校区","校内食堂","综合食堂","湘雅新校区","","大众餐饮","后勤保障部列入统一管理食堂","页面未列具体档口和发布日期",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C011,"中南大学","湘雅新校区","十一食堂圆形餐厅","中南大学湘雅新校区","校内餐厅","综合餐厅","湘雅新校区","","大众餐饮","后勤保障部将圆形餐厅单列为餐饮场所","与十一食堂的运营关系待现场核验",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-C012,"中南大学","各校区","民族餐厅","中南大学各校区","校内餐厅","民族餐饮","各校区，具体点位待核验","","民族餐饮","后勤保障部将民族餐厅列入各校区餐饮体系","具体校区点位和菜单未公开",MULTI_SRC201,"","2026-07-18","待实地核验","高",""
CSU-S001,"中南大学","校区待核验","掉渣饼窗口","中南大学食堂","校内档口","饼类小吃","原文未标明具体食堂","","掉渣饼","2022年食堂攻略称香脆可口、纯手工制作","具体校区和窗口运营状态待核验",MULTI_SRC202,"2022-03-14","2026-07-18","待实地核验","中","MULTI_IMG016"
CSU-S002,"中南大学","校区待核验","烧卤家族窗口","中南大学食堂","校内档口","烧卤","原文未标明具体食堂","","匠心卤双拼","2022年食堂攻略评价味道与工艺较好，并称为环湖园爆款","具体楼层和当前档口待核验",MULTI_SRC202,"2022-03-14","2026-07-18","待实地核验","中","MULTI_IMG014"
CSU-S003,"中南大学","校区待核验","东区一楼十里香烧烤","东区一楼","校内档口","烧烤","东区一楼","","烧烤","2022年攻略称营业时段为20:00至22:00，定位为深夜食堂","东区所属校区及营业时间待核验",MULTI_SRC202,"2022-03-14","2026-07-18","待实地核验","中",""
CSU-S004,"中南大学","南校区周边","米酒烤肉","麓山南路生活圈","校园周边","烤肉","岳麓区麓山南路838号","22","招牌精品五花肉、黑椒牛肉粒","2019年攻略称五花肉焦香、适合配韩式酱料和泡菜，牛肉粒鲜嫩多汁","单品价格为2019年信息",MULTI_SRC203,"2019-09-03","2026-07-18","待实地核验","中",""
